Average Case 
	 T(n)
1000	624.000000
2000	1200.000000
3000	1540.000000
4000	1957.000000
5000	2106.000000
6000	2412.000000
7000	2440.000000
8000	2595.000000
9000	2751.000000
10000	3116.000000
11000	3088.000000
12000	3214.000000
13000	3491.000000
14000	3539.000000
15000	3696.000000
16000	3710.000000
17000	3642.000000
18000	3836.000000
19000	3801.000000
20000	3733.000000
21000	3841.000000
22000	3892.000000
23000	4077.000000
24000	4253.000000
25000	4465.000000
26000	4394.000000
27000	4130.000000
28000	4387.000000
29000	4235.000000
30000	4314.000000
31000	4382.000000
32000	4358.000000
33000	4633.000000
34000	4661.000000
35000	4694.000000
36000	4612.000000
37000	4655.000000
38000	4873.000000
39000	4979.000000
40000	4810.000000
41000	4920.000000
42000	4847.000000
43000	5313.000000
44000	4998.000000
45000	5087.000000
46000	5095.000000
47000	5106.000000
48000	4978.000000
49000	5089.000000
50000	5240.000000
51000	5335.000000
52000	5427.000000
53000	5350.000000
54000	5246.000000
55000	5544.000000
56000	5512.000000
57000	5546.000000
58000	5496.000000
59000	5506.000000
60000	5401.000000
61000	5518.000000
62000	5442.000000
63000	5720.000000
64000	5890.000000
65000	5849.000000
66000	5788.000000
67000	5916.000000
68000	5829.000000
69000	5711.000000
70000	5808.000000
71000	5795.000000
72000	5729.000000
73000	5936.000000
74000	6136.000000
75000	6230.000000
76000	6050.000000
77000	5941.000000
78000	5961.000000
79000	5906.000000
80000	6021.000000
81000	5981.000000
82000	5820.000000
83000	5987.000000
84000	6078.000000
85000	6401.000000
86000	6361.000000
87000	6977.000000
88000	6801.000000
89000	5922.000000
90000	6042.000000
91000	6037.000000
92000	6003.000000
93000	5973.000000
94000	5978.000000
95000	6049.000000
96000	6204.000000
97000	5849.000000
98000	6052.000000
99000	5912.000000
100000	6021.000000
Best Case
	 T(n)
1000	202.000000
2000	1489.000000
3000	1447.000000
4000	1356.000000
5000	1414.000000
6000	1471.000000
7000	1451.000000
8000	1420.000000
9000	1554.000000
10000	1648.000000
11000	26710551.000000
12000	3974.000000
13000	2837.000000
14000	2445.000000
15000	2323.000000
16000	2380.000000
17000	2108.000000
18000	2068.000000
19000	2111.000000
20000	2265.000000
21000	2268.000000
22000	2372.000000
23000	2353.000000
24000	2514.000000
25000	2650.000000
26000	2729.000000
27000	2801.000000
28000	2631.000000
29000	2973.000000
30000	3347.000000
31000	2945.000000
32000	3161.000000
33000	3243.000000
34000	3261.000000
35000	3290.000000
36000	3358.000000
37000	3521.000000
38000	3522.000000
39000	3531.000000
40000	3421.000000
41000	3465.000000
42000	3524.000000
43000	3661.000000
44000	3686.000000
45000	3798.000000
46000	3854.000000
47000	3798.000000
48000	3917.000000
49000	4008.000000
50000	4165.000000
51000	4074.000000
52000	4067.000000
53000	4309.000000
54000	4137.000000
55000	4205.000000
56000	4460.000000
57000	4476.000000
58000	4700.000000
59000	4919.000000
60000	4870.000000
61000	4691.000000
62000	4815.000000
63000	5047.000000
64000	5104.000000
65000	5267.000000
66000	5058.000000
67000	5258.000000
68000	5274.000000
69000	5579.000000
70000	5631.000000
71000	5784.000000
72000	5847.000000
73000	5861.000000
74000	5827.000000
75000	5935.000000
76000	6023.000000
77000	6080.000000
78000	6333.000000
79000	6242.000000
80000	6342.000000
81000	6445.000000
82000	6622.000000
83000	6799.000000
84000	6277.000000
85000	6749.000000
86000	6770.000000
87000	6951.000000
88000	7447.000000
89000	7189.000000
90000	7837.000000
91000	7142.000000
92000	7578.000000
93000	8175.000000
94000	7890.000000
95000	7901.000000
96000	8065.000000
97000	7769.000000
98000	7925.000000
99000	7889.000000
100000	8349.000000
Worst Case
	 T(n)
1000	26.000000
2000	104.000000
3000	41.000000
4000	252.000000
5000	49.000000
6000	77.000000
7000	120.000000
8000	135.000000
9000	210.000000
10000	300.000000
11000	403.000000
12000	496.000000
13000	583.000000
14000	651.000000
15000	772.000000
16000	813.000000
17000	836.000000
18000	996.000000
19000	1111.000000
20000	1146.000000
21000	1293.000000
22000	1368.000000
23000	1420.000000
24000	1499.000000
25000	1457.000000
26000	1601.000000
27000	1802.000000
28000	1802.000000
29000	1903.000000
30000	2030.000000
31000	2105.000000
32000	2194.000000
33000	2311.000000
34000	2375.000000
35000	2435.000000
36000	2462.000000
37000	2481.000000
38000	2755.000000
39000	2795.000000
40000	2848.000000
41000	3002.000000
42000	3070.000000
43000	3228.000000
44000	3389.000000
45000	3408.000000
46000	3702.000000
47000	3803.000000
48000	4181.000000
49000	4356.000000
50000	4221.000000
51000	4149.000000
52000	4700.000000
53000	4852.000000
54000	5164.000000
55000	5465.000000
56000	5519.000000
57000	5523.000000
58000	6173.000000
59000	5995.000000
60000	6116.000000
61000	6682.000000
62000	7327.000000
63000	7336.000000
64000	7663.000000
65000	7813.000000
66000	7910.000000
67000	8598.000000
68000	8524.000000
69000	9218.000000
70000	9478.000000
71000	9844.000000
72000	10407.000000
73000	9752.000000
74000	9896.000000
75000	10136.000000
76000	10455.000000
77000	11145.000000
78000	11675.000000
79000	12319.000000
80000	12811.000000
81000	12894.000000
82000	13082.000000
83000	12980.000000
84000	13943.000000
85000	14384.000000
86000	14654.000000
87000	15158.000000
88000	15680.000000
89000	16210.000000
90000	16471.000000
91000	16882.000000
92000	16867.000000
93000	17468.000000
94000	18006.000000
95000	18393.000000
96000	18939.000000
97000	19179.000000
98000	19717.000000
99000	20351.000000
100000	20728.000000
