Average Case 
	 T(n)
1000	25.000000
2000	47.000000
3000	74.000000
4000	95.000000
5000	105.000000
6000	110.000000
7000	113.000000
8000	116.000000
9000	116.000000
10000	112.000000
Best Case
	 T(n)
1000	93.000000
2000	102.000000
3000	115.000000
4000	124.000000
5000	128.000000
6000	122.000000
7000	122.000000
8000	121.000000
9000	123.000000
10000	123.000000
Worst Case
	 T(n)
1000	7.000000
2000	9.000000
3000	25.000000
4000	42.000000
5000	69.000000
6000	90.000000
7000	120.000000
8000	160.000000
9000	210.000000
10000	183.000000
Average Case 
	 T(n)
10	0.000000
20	0.000000
30	0.000000
40	0.000000
50	0.000000
60	0.000000
70	0.000000
80	1.000000
90	1.000000
100	1.000000
110	1.000000
120	1.000000
130	1.000000
140	1.000000
150	1.000000
160	2.000000
170	2.000000
180	2.000000
190	2.000000
200	2.000000
210	2.000000
220	2.000000
230	3.000000
240	3.000000
250	3.000000
260	3.000000
270	4.000000
280	4.000000
290	4.000000
300	4.000000
310	5.000000
320	5.000000
330	5.000000
340	6.000000
350	6.000000
360	6.000000
370	7.000000
380	7.000000
390	7.000000
400	7.000000
410	7.000000
420	7.000000
430	7.000000
440	8.000000
450	8.000000
460	8.000000
470	9.000000
480	9.000000
490	9.000000
500	8.000000
510	9.000000
520	9.000000
530	9.000000
540	9.000000
550	9.000000
560	9.000000
570	10.000000
580	10.000000
590	10.000000
600	11.000000
610	11.000000
620	11.000000
630	11.000000
640	11.000000
650	11.000000
660	11.000000
670	11.000000
680	11.000000
690	11.000000
700	12.000000
710	12.000000
720	12.000000
730	13.000000
740	14.000000
750	13.000000
760	13.000000
770	13.000000
780	13.000000
790	13.000000
800	14.000000
810	14.000000
820	14.000000
830	14.000000
840	14.000000
850	15.000000
860	14.000000
870	16.000000
880	17.000000
890	15.000000
900	15.000000
910	17.000000
920	16.000000
930	17.000000
940	17.000000
950	17.000000
960	16.000000
970	16.000000
980	18.000000
990	18.000000
1000	17.000000
1010	17.000000
1020	18.000000
1030	18.000000
1040	19.000000
1050	19.000000
1060	20.000000
1070	19.000000
1080	19.000000
1090	19.000000
1100	19.000000
1110	20.000000
1120	19.000000
1130	19.000000
1140	19.000000
1150	19.000000
1160	18.000000
1170	18.000000
1180	19.000000
1190	21.000000
1200	21.000000
1210	19.000000
1220	20.000000
1230	20.000000
1240	19.000000
1250	21.000000
1260	21.000000
1270	20.000000
1280	20.000000
1290	20.000000
1300	22.000000
1310	21.000000
1320	22.000000
1330	23.000000
1340	22.000000
1350	21.000000
1360	22.000000
1370	23.000000
