Average Case 
	 T(n)
100	1.000000
200	3.000000
300	4.000000
400	6.000000
500	7.000000
600	9.000000
700	11.000000
800	12.000000
900	16.000000
1000	18.000000
1100	20.000000
1200	23.000000
1300	23.000000
1400	25.000000
1500	27.000000
1600	27.000000
1700	28.000000
1800	30.000000
1900	32.000000
2000	32.000000
2100	33.000000
2200	35.000000
2300	36.000000
2400	37.000000
2500	37.000000
2600	39.000000
2700	41.000000
2800	40.000000
2900	42.000000
3000	44.000000
3100	45.000000
3200	45.000000
3300	47.000000
3400	50.000000
3500	49.000000
3600	51.000000
3700	53.000000
3800	52.000000
3900	51.000000
4000	54.000000
4100	55.000000
4200	53.000000
4300	57.000000
4400	54.000000
4500	57.000000
4600	54.000000
4700	60.000000
4800	55.000000
4900	59.000000
5000	60.000000
5100	59.000000
5200	56.000000
5300	58.000000
5400	56.000000
5500	55.000000
5600	57.000000
5700	59.000000
5800	59.000000
5900	56.000000
6000	57.000000
6100	57.000000
6200	57.000000
6300	57.000000
6400	59.000000
6500	62.000000
6600	63.000000
6700	63.000000
6800	63.000000
6900	63.000000
7000	65.000000
7100	66.000000
7200	64.000000
7300	66.000000
7400	63.000000
7500	67.000000
7600	65.000000
7700	65.000000
7800	67.000000
7900	64.000000
8000	59.000000
8100	62.000000
8200	64.000000
8300	59.000000
8400	62.000000
8500	60.000000
8600	60.000000
8700	61.000000
8800	60.000000
8900	64.000000
9000	63.000000
9100	61.000000
9200	61.000000
9300	63.000000
9400	65.000000
9500	65.000000
9600	60.000000
9700	61.000000
9800	60.000000
9900	59.000000
10000	60.000000
Best Case
	 T(n)
100	6.000000
200	14.000000
300	29.000000
400	22.000000
500	35.000000
600	47.000000
700	43.000000
800	47.000000
900	48.000000
1000	50.000000
1100	48.000000
1200	52.000000
1300	55.000000
1400	52.000000
1500	54.000000
1600	59.000000
1700	59.000000
1800	57.000000
1900	57.000000
2000	59.000000
2100	61.000000
2200	60.000000
2300	57.000000
2400	61.000000
2500	59.000000
2600	60.000000
2700	60.000000
2800	58.000000
2900	59.000000
3000	60.000000
3100	64.000000
3200	66.000000
3300	69.000000
3400	66.000000
3500	62.000000
3600	66.000000
3700	66.000000
3800	66.000000
3900	66.000000
4000	65.000000
4100	65.000000
4200	67.000000
4300	64.000000
4400	65.000000
4500	61.000000
4600	68.000000
4700	68.000000
4800	67.000000
4900	66.000000
5000	64.000000
5100	62.000000
5200	64.000000
5300	71.000000
5400	71.000000
5500	68.000000
5600	68.000000
5700	73.000000
5800	73.000000
5900	68.000000
6000	69.000000
6100	65.000000
6200	69.000000
6300	66.000000
6400	64.000000
6500	67.000000
6600	70.000000
6700	71.000000
6800	72.000000
6900	70.000000
7000	70.000000
7100	74.000000
7200	64.000000
7300	66.000000
7400	65.000000
7500	66.000000
7600	64.000000
7700	72.000000
7800	68.000000
7900	65.000000
8000	67.000000
8100	68.000000
8200	67.000000
8300	68.000000
8400	66.000000
8500	65.000000
8600	64.000000
8700	68.000000
8800	68.000000
8900	71.000000
9000	65.000000
9100	66.000000
9200	65.000000
9300	67.000000
9400	67.000000
9500	66.000000
9600	67.000000
9700	70.000000
9800	65.000000
9900	67.000000
10000	66.000000
Worst Case
	 T(n)
100	0.000000
200	0.000000
300	0.000000
400	0.000000
500	0.000000
600	0.000000
700	2.000000
800	0.000000
900	4.000000
1000	1.000000
1100	1.000000
1200	2.000000
1300	3.000000
1400	2.000000
1500	11.000000
1600	3.000000
1700	3.000000
1800	4.000000
1900	4.000000
2000	5.000000
2100	17.000000
2200	9.000000
2300	7.000000
2400	18.000000
2500	8.000000
2600	18.000000
2700	9.000000
2800	16.000000
2900	11.000000
3000	13.000000
3100	23.000000
3200	13.000000
3300	15.000000
3400	23.000000
3500	31.000000
3600	18.000000
3700	19.000000
3800	23.000000
3900	29.000000
4000	22.000000
4100	23.000000
4200	23.000000
4300	29.000000
4400	35.000000
4500	38.000000
4600	29.000000
4700	30.000000
4800	32.000000
4900	34.000000
5000	35.000000
5100	37.000000
5200	41.000000
5300	35.000000
5400	39.000000
5500	38.000000
5600	42.000000
5700	41.000000
5800	44.000000
5900	46.000000
6000	47.000000
6100	45.000000
6200	47.000000
6300	45.000000
6400	54.000000
6500	56.000000
6600	58.000000
6700	62.000000
6800	67.000000
6900	65.000000
7000	69.000000
7100	70.000000
7200	70.000000
7300	71.000000
7400	71.000000
7500	68.000000
7600	66.000000
7700	64.000000
7800	65.000000
7900	58.000000
8000	89.000000
8100	93.000000
8200	97.000000
8300	96.000000
8400	99.000000
8500	105.000000
8600	106.000000
8700	108.000000
8800	112.000000
8900	112.000000
9000	118.000000
9100	117.000000
9200	116.000000
9300	115.000000
9400	114.000000
9500	108.000000
9600	110.000000
9700	110.000000
9800	108.000000
9900	108.000000
10000	105.000000
